Time	 FairTen1	 FairTen2	 FairTen3	 L1N20pZ	 L2N20pZ	 L3N20pZ	 L1N20FZ	 L2N20FZ	 L3N20FZ	 
(s)	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 
0	 971609	 972114	 972114	 -65	 -65	 -65	 -557450	 -557473	 -557473	 
0.0120482	 971560	 972065	 972065	 -65	 -65	 -65	 -557419	 -557443	 -557443	 
0.0120482	 971390	 971895	 971895	 -65	 -65	 -65	 -557322	 -557346	 -557346	 
0.0265769	 971388	 971894	 971894	 -65	 -65	 -65	 -557318	 -557342	 -557342	 
0.0265769	 970914	 971419	 971419	 -65.0001	 -65.0001	 -65.0001	 -557047	 -557071	 -557071	 
0.0439595	 971052	 971557	 971557	 -65.0001	 -65.0001	 -65.0001	 -557122	 -557145	 -557145	 
0.0439595	 970349	 970854	 970854	 -65.0004	 -65.0004	 -65.0004	 -556719	 -556743	 -556743	 
0.0647429	 970664	 971170	 971170	 -65.0004	 -65.0004	 -65.0004	 -556894	 -556918	 -556918	 
0.0647429	 969686	 970192	 970192	 -65.0008	 -65.0008	 -65.0008	 -556332	 -556356	 -556356	 
0.089355	 970195	 970701	 970701	 -65.0008	 -65.0008	 -65.0008	 -556617	 -556641	 -556641	 
0.089355	 968923	 969428	 969428	 -65.0014	 -65.0014	 -65.0014	 -555884	 -555908	 -555908	 
0.118731	 969595	 970101	 970101	 -65.0015	 -65.0015	 -65.0015	 -556260	 -556284	 -556284	 
0.118731	 968027	 968533	 968533	 -65.0024	 -65.0024	 -65.0024	 -555355	 -555379	 -555379	 
0.15137	 968939	 969445	 969445	 -65.0025	 -65.0025	 -65.0025	 -555868	 -555892	 -555892	 
0.15137	 967097	 967604	 967604	 -65.0039	 -65.0039	 -65.0039	 -554801	 -554825	 -554825	 
0.179658	 968660	 969166	 969166	 -65.0037	 -65.0037	 -65.0037	 -555689	 -555713	 -555713	 
0.179658	 966563	 967070	 967070	 -65.005	 -65.005	 -65.005	 -554477	 -554502	 -554502	 
0.207946	 967940	 968446	 968446	 -65.005	 -65.005	 -65.005	 -555259	 -555283	 -555283	 
0.207946	 965600	 966106	 966106	 -65.0066	 -65.0066	 -65.0066	 -553905	 -553929	 -553929	 
0.236233	 967336	 967843	 967843	 -65.0066	 -65.0066	 -65.0066	 -554892	 -554917	 -554917	 
0.236233	 964748	 965254	 965254	 -65.0083	 -65.0083	 -65.0083	 -553395	 -553419	 -553419	 
0.264521	 966760	 967266	 967266	 -65.0083	 -65.0083	 -65.0083	 -554540	 -554564	 -554564	 
0.264521	 963925	 964431	 964431	 -65.0103	 -65.0103	 -65.0103	 -552899	 -552924	 -552924	 
0.292809	 966192	 966699	 966699	 -65.0103	 -65.0103	 -65.0103	 -554191	 -554215	 -554215	 
0.292809	 963111	 963618	 963618	 -65.0124	 -65.0124	 -65.0124	 -552408	 -552432	 -552432	 
0.319001	 965934	 966441	 966441	 -65.0122	 -65.0122	 -65.0122	 -554019	 -554043	 -554043	 
0.319001	 962575	 963081	 963081	 -65.0144	 -65.0144	 -65.0144	 -552077	 -552102	 -552102	 
0.341701	 965917	 966424	 966424	 -65.0141	 -65.0141	 -65.0141	 -553986	 -554011	 -554011	 
0.341701	 962251	 962758	 962758	 -65.0161	 -65.0161	 -65.0161	 -551873	 -551897	 -551897	 
0.363644	 965280	 965787	 965787	 -65.016	 -65.016	 -65.016	 -553601	 -553626	 -553626	 
0.363644	 961380	 961887	 961887	 -65.018	 -65.018	 -65.018	 -551354	 -551378	 -551378	 
0.384856	 964760	 965267	 965267	 -65.018	 -65.018	 -65.018	 -553283	 -553307	 -553307	 
0.384856	 960720	 961227	 961227	 -65.02	 -65.02	 -65.02	 -550955	 -550980	 -550980	 
0.406068	 964240	 964747	 964747	 -65.02	 -65.02	 -65.02	 -552964	 -552989	 -552989	 
0.406068	 959999	 960507	 960507	 -65.0222	 -65.0222	 -65.0222	 -550521	 -550546	 -550546	 
0.426548	 964000	 964507	 964507	 -65.0222	 -65.0222	 -65.0222	 -552805	 -552830	 -552830	 
0.426548	 959540	 960047	 960047	 -65.0244	 -65.0244	 -65.0244	 -550237	 -550262	 -550262	 
0.448604	 963168	 963675	 963675	 -65.0245	 -65.0245	 -65.0245	 -552308	 -552333	 -552333	 
0.448604	 958547	 959054	 959054	 -65.027	 -65.027	 -65.027	 -549644	 -549669	 -549669	 
0.47066	 962958	 963465	 963465	 -65.027	 -65.027	 -65.027	 -552164	 -552188	 -552188	 
