Time	 FairTen1	 FairTen2	 FairTen3	 L1N20pX	 L2N20pX	 L3N20pX	 L1N20FX	 L2N20FX	 L3N20FX	 
(s)	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 
0	 656413	 1.04737e+06	 1.04737e+06	 15.2	 7.4	 7.4	 492053	 -445542	 -445542	 
0.01	 656003	 1.04712e+06	 1.04712e+06	 15.2	 7.4	 7.4	 491737	 -445432	 -445432	 
0.02	 655997	 1.04687e+06	 1.04687e+06	 15.2	 7.4	 7.4	 491727	 -445323	 -445323	 
0.03	 656428	 1.04663e+06	 1.04663e+06	 15.2	 7.39999	 7.39999	 492050	 -445222	 -445222	 
0.04	 657272	 1.04645e+06	 1.04645e+06	 15.2	 7.39998	 7.39998	 492687	 -445144	 -445144	 
0.05	 658558	 1.04633e+06	 1.04633e+06	 15.2	 7.39997	 7.39997	 493660	 -445090	 -445090	 
0.06	 660310	 1.04626e+06	 1.04626e+06	 15.2	 7.39995	 7.39995	 494989	 -445057	 -445057	 
0.07	 662498	 1.04625e+06	 1.04625e+06	 15.1999	 7.39993	 7.39993	 496648	 -445050	 -445050	 
0.08	 665053	 1.04631e+06	 1.04631e+06	 15.1999	 7.39991	 7.39991	 498587	 -445076	 -445076	 
0.09	 667907	 1.04646e+06	 1.04646e+06	 15.1999	 7.39989	 7.39989	 500754	 -445137	 -445137	 
0.1	 670996	 1.04669e+06	 1.04669e+06	 15.1999	 7.39987	 7.39987	 503099	 -445233	 -445233	 
0.11	 674235	 1.04699e+06	 1.04699e+06	 15.1998	 7.39984	 7.39984	 505558	 -445361	 -445361	 
0.12	 677529	 1.04737e+06	 1.04737e+06	 15.1998	 7.39981	 7.39981	 508059	 -445521	 -445521	 
0.13	 680789	 1.04781e+06	 1.04781e+06	 15.1998	 7.39978	 7.39978	 510533	 -445709	 -445709	 
0.14	 683940	 1.0483e+06	 1.0483e+06	 15.1997	 7.39975	 7.39975	 512925	 -445918	 -445918	 
0.15	 686915	 1.04883e+06	 1.04883e+06	 15.1997	 7.39971	 7.39971	 515183	 -446140	 -446140	 
0.16	 689651	 1.04936e+06	 1.04936e+06	 15.1997	 7.39967	 7.39967	 517258	 -446368	 -446368	 
0.17	 692098	 1.04989e+06	 1.04989e+06	 15.1996	 7.39963	 7.39963	 519113	 -446593	 -446593	 
0.18	 694222	 1.0504e+06	 1.0504e+06	 15.1996	 7.39959	 7.39959	 520722	 -446806	 -446806	 
0.19	 695999	 1.05086e+06	 1.05086e+06	 15.1995	 7.39955	 7.39955	 522066	 -447002	 -447002	 
0.2	 697412	 1.05126e+06	 1.05126e+06	 15.1995	 7.3995	 7.3995	 523134	 -447172	 -447172	 
0.21	 698457	 1.0516e+06	 1.0516e+06	 15.1994	 7.39945	 7.39945	 523922	 -447314	 -447314	 
0.22	 699137	 1.05187e+06	 1.05187e+06	 15.1994	 7.3994	 7.3994	 524431	 -447424	 -447424	 
0.23	 699464	 1.05206e+06	 1.05206e+06	 15.1993	 7.39934	 7.39934	 524672	 -447503	 -447503	 
0.24	 699455	 1.05217e+06	 1.05217e+06	 15.1993	 7.39929	 7.39929	 524657	 -447550	 -447550	 
0.25	 699134	 1.05223e+06	 1.05223e+06	 15.1992	 7.39923	 7.39923	 524404	 -447570	 -447570	 
0.26	 698530	 1.05222e+06	 1.05222e+06	 15.1992	 7.39917	 7.39917	 523937	 -447565	 -447565	 
0.27	 697679	 1.05218e+06	 1.05218e+06	 15.1991	 7.39911	 7.39911	 523281	 -447541	 -447541	 
0.28	 696619	 1.05209e+06	 1.05209e+06	 15.199	 7.39904	 7.39904	 522466	 -447503	 -447503	 
0.29	 695391	 1.052e+06	 1.052e+06	 15.199	 7.39897	 7.39897	 521524	 -447457	 -447457	 
0.3	 694038	 1.05189e+06	 1.05189e+06	 15.1989	 7.3989	 7.3989	 520487	 -447409	 -447409	 
0.31	 692606	 1.05179e+06	 1.05179e+06	 15.1988	 7.39883	 7.39883	 519389	 -447364	 -447364	 
0.32	 691138	 1.05171e+06	 1.05171e+06	 15.1988	 7.39876	 7.39876	 518264	 -447326	 -447326	 
0.33	 689678	 1.05166e+06	 1.05166e+06	 15.1987	 7.39868	 7.39868	 517145	 -447299	 -447299	 
0.34	 688266	 1.05164e+06	 1.05164e+06	 15.1986	 7.3986	 7.3986	 516063	 -447286	 -447286	 
0.35	 686939	 1.05166e+06	 1.05166e+06	 15.1985	 7.39852	 7.39852	 515045	 -447291	 -447291	 
0.36	 685729	 1.05172e+06	 1.05172e+06	 15.1984	 7.39844	 7.39844	 514117	 -447314	 -447314	 
0.37	 684666	 1.05182e+06	 1.05182e+06	 15.1984	 7.39835	 7.39835	 513301	 -447355	 -447355	 
0.38	 683770	 1.05198e+06	 1.05198e+06	 15.1983	 7.39826	 7.39826	 512611	 -447416	 -447416	 
0.39	 683058	 1.05217e+06	 1.05217e+06	 15.1982	 7.39817	 7.39817	 512062	 -447496	 -447496	 
